epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.732,1.43081,1.69125,1.00992,0.9587,0.88235,0.96978,0.68373,0.9916,1.43555,0.92174,0.000660606,0.000660606,0.000660606
2,206.943,1.12155,0.82469,0.88394,0.93653,0.96078,0.97339,0.66927,1.01826,0.68296,0.93228,0.00130099,0.00130099,0.00130099
3,305.98,1.07056,0.70787,0.87383,0.9655,0.96032,0.9792,0.72128,0.93987,0.57338,0.91881,0.00191498,0.00191498,0.00191498
4,401.446,1.02213,0.63056,0.86972,0.98459,0.96569,0.98356,0.7352,0.88175,0.57051,0.88976,0.0018812,0.0018812,0.0018812
5,500.281,1.03893,0.61053,0.86207,0.98026,0.95588,0.98049,0.73077,0.874,0.54215,0.888,0.0018416,0.0018416,0.0018416
6,600.586,0.99661,0.57815,0.85765,0.9657,0.96605,0.97833,0.75185,0.83686,0.53517,0.8865,0.001802,0.001802,0.001802
7,697.738,0.96793,0.57206,0.84506,0.96077,0.97059,0.9808,0.75071,0.83168,0.53172,0.86696,0.0017624,0.0017624,0.0017624
8,797.053,0.94078,0.53187,0.83581,0.96585,0.96078,0.98044,0.75692,0.80908,0.50741,0.86693,0.0017228,0.0017228,0.0017228
9,894.175,0.92208,0.52952,0.83671,0.98008,0.97549,0.98391,0.75861,0.80229,0.47768,0.85299,0.0016832,0.0016832,0.0016832
10,989.797,0.90787,0.52492,0.83662,0.98037,0.97922,0.98358,0.75955,0.8161,0.48563,0.87022,0.0016436,0.0016436,0.0016436
11,1086.32,0.93876,0.52592,0.83713,0.98316,0.96569,0.98271,0.78098,0.76,0.44699,0.85098,0.001604,0.001604,0.001604
12,1185.32,0.88581,0.50137,0.83098,0.9845,0.96569,0.98535,0.77765,0.74859,0.47726,0.85623,0.0015644,0.0015644,0.0015644
13,1283.21,0.84114,0.48853,0.82476,0.97336,0.97059,0.9827,0.7829,0.77335,0.47732,0.85099,0.0015248,0.0015248,0.0015248
14,1380.99,0.86766,0.49978,0.82679,0.97825,0.97059,0.98294,0.78595,0.7601,0.44097,0.84253,0.0014852,0.0014852,0.0014852
15,1480.45,0.84493,0.48197,0.82153,0.97728,0.97059,0.98266,0.78817,0.74858,0.44886,0.85155,0.0014456,0.0014456,0.0014456
16,1577.94,0.85196,0.47892,0.82216,0.97083,0.97873,0.99133,0.80512,0.68457,0.4117,0.843,0.001406,0.001406,0.001406
17,1675.97,0.83563,0.4651,0.82315,0.97805,0.97549,0.98232,0.78728,0.71336,0.41949,0.84271,0.0013664,0.0013664,0.0013664
18,1775.53,0.81995,0.46505,0.82123,0.97544,0.97325,0.9817,0.80772,0.68626,0.41479,0.83804,0.0013268,0.0013268,0.0013268
19,1875.25,0.78764,0.44666,0.81761,0.97549,0.97564,0.98323,0.81568,0.68443,0.42293,0.84308,0.0012872,0.0012872,0.0012872
20,1970.05,0.77091,0.43969,0.80861,0.97035,0.98039,0.983,0.8016,0.6941,0.41767,0.84239,0.0012476,0.0012476,0.0012476
21,2067.68,0.81366,0.46349,0.81623,0.97549,0.97549,0.98435,0.78528,0.7598,0.46802,0.84496,0.001208,0.001208,0.001208
22,2164.27,0.79047,0.44936,0.81659,0.97688,0.97059,0.9829,0.79982,0.7699,0.42381,0.84648,0.0011684,0.0011684,0.0011684
23,2262.23,0.78553,0.43177,0.81162,0.98453,0.98039,0.98435,0.80413,0.65106,0.38925,0.83713,0.0011288,0.0011288,0.0011288
